genome,species,representative,genome_is_representative,database,genome_type,species_name,source
MG454.mbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
GCF_000149145.1,240891,SRR17284223.mbin.1,0,shared,isolate,Lactobacillus iners,FRT
MG1023.mbin.34,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709411.mbin.6,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635786.mbin.4,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR10897856.sbin.3,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
SRR17635783.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635786.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635772.sbin.3,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
MG1053.mbin.36,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG1062.sbin.19,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
SRR17635782.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17635784.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
P10709108.mbin.8,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR17284230.mbin.5,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG886.mbin.1,988598,GCF_000162255.1,0,VMGC,MAG,Lactobacillus crispatus,FRT
SRR13167739.sbin.4,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
GV28.sbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG243.mbin.15,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG317.mbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
